title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
1461,Caster,ACTION,"Common,Noble Transmission",THURSDAY,30,49347,9.04,845468,73101,COMPLETED,False,"​CASTER - A world traveling rare antiquities dealer gets caught up in a world of espionage, but all he wants is his payday. A man of exotic taste, he is addicted to one thing: risk. However, to some, his appeal exists not because of his lifestyle, but because he truly cares about making sure the rare antiques he chases end up in the hands of a passionate buyer. He respects art and expects others to as well. No museums though. He needs to get paid!"
1460,Eat Fighter,SPORTS,"Crystal Skillman / Fred Van Lente,Fernando Pinto",SATURDAY,26,27801,5.41,966086,69591,COMPLETED,False,"Eat Fighter is a competitive eating, zombie murder epic that follows Miss, a thirty-something fitness nut who throws away her kale and step-counting ways to become a superstar on the competitive eating circuit. Following the lifestyle of her late brother, who was a champion competitive eater himself, she embarks on a quest to Seoul to become the World Champion Eat Fighter. But eating barrels of barbecue and acres of apple pie doesn’t come without a price—so what’s Miss’s secret as to why she can eat as much as she wants and never gain a pound? "
1458,Brothers Bond,ACTION,"Kevin Grevioux,Ryan Benjamin",FRIDAY,44,125219,9.03,2159146,154619,COMPLETED,False,"An exiled prince and his two blind samurai protectors set on a dangerous journey to reclaim their
kingdom from demonic forces."
1457,FINALITY,MYSTERY,"Warren Ellis,Colleen Doran",FRIDAY,8,32148,8.13,330291,23419,COMPLETED,False,"FELICITY ROCKALL was the world’s greatest criminal investigator. She retired at the age of 35 after spending ten years working for international criminal courts.  A young agent from the White House’s Intelligence Support Activity, AMY ASH, is reluctantly sent to get her. There’s been a murder, one apparently insoluble, and Rockall’s skills are required one more time."
1456,Backchannel,SUPER_HERO,"Stan Lee,Tom Akel / Andie Tong",WEDNESDAY,12,150244,9.64,2080860,168400,HIATUS,False,"On the surface, Tom Tanner is having an average high school life - struggling to stay on the lacrosse team, hiding his affections for his friend Sally, and trying to keep his head down and grades up. What his father, an LA police detective, and friends don’t know is that Tom is an engineering prodigy and is being recruited by BACKCHANNEL, a decentralized hactivist group causing havoc at prisons across the U.S."
1455,Shadow Pirates,FANTASY," Sean Galloway,​ Ian Hopps / Leonel Castellani",WEDNESDAY,17,47079,9.2,622737,51047,COMPLETED,False,"The Shadow Pirates are the new sheriff in town. Beware all evildoers. This ragtag group of heroes will do whatever it takes to protect their majestic, underwater city and the inhabitants of Old San Diego. You haven’t seen justice served until you see the Shadow Pirates lay down the law."
1454,Four Leaf,FANTASY,Lumaga,FRIDAY,118,235958,9.72,13286302,1830194,ONGOING,False,"Lupe hasn’t been able to adapt very well to the new school… though she hasn’t really been able to adapt to anything ever. Four Leaf is a story about a bunch of dangerous magical girls, but most specially about one not-at-all-magical girl."
1453,Witch Creek Road,HORROR,"Garth the Geek,Kenan Halilovic",SATURDAY,12,476699,9.4,21695899,1737998,COMPLETED,True,"A survival horror about love, acceptance, death and revenge. And sexy flesh-eating demons. Yeah, it has those, too."
1452,Acursian,SUPERNATURAL,"John Barrowman,Carole Barrowman and Erika Lewis",MONDAY,26,56728,7.23,553644,35499,COMPLETED,False,"Starring John Barrowman, Acursian is a time-traveling magical journey set between 1745 and present day that follows Charlie Stewart, a dislikeable lawyer whose bloodline is cursed by the Gods after Charlie's ancestor, Prince Charles Edward Stewart, makes a deal with Bregon, the god of war. The exchange quickly backfires with Bregon stealing three talismans from his sisters, the goddesses of fate and time, and a battle soon ensues. Until the talismans are returned, the three sisters can no longer control fate and time, and Charles Edward Stewart and his descendants are cursed to lose everything on their 40th birthdays."
1451,Aphrodite IX,SF,"Matt Hawkins,Stjepan Sejic",THURSDAY,33,120485,8.8,2325151,159457,COMPLETED,False,The Aphrodite protocol was initiated in an attempt to save humanity from a predicted extinction level event. Its mission was to engineer humans that could survive via technological singularity and genetic enhancement to repopulate the Earth.
